iter	RMSE
427	15984725.32
428	15960838.02
429	15925088.93
430	15908626.41
431	15891546.68
432	15880222.41
433	15877138.9
434	15847356.01
435	15818412.01
436	15808988.34
437	15785585.98
438	15760489.89
439	15745535.72
440	15724019.09
441	15700067.38
442	15629282.17
443	15600964.33
444	15590945.33
445	15576318.69
446	15537636.77
447	15533626.97
448	15522788.11
449	15520554.47
450	15502003.57
451	15468092.35
452	15453762.56
453	15407238.91
454	15393766.7
455	15384037.12
456	15372594.84
457	15352128.38
458	15336307.02
459	15313602.19
460	15291194.17
461	15263312.19
462	15245327.09
463	15221314.75
464	15189118.82
465	15166585.33
466	15156290.73
467	15147215.19
468	15137183.4
469	15134005.53
470	15122608.22
471	15106453.94
472	15085862.88
473	15060216.47
474	15028692.27
475	15014336.26
476	15002254.27
477	14990833.82
478	14965836.97
479	14952617.07
480	14920897.73
481	14892559.43
482	14885939.48
483	14870187.64
484	14843774.84
485	14828448.79
486	14826018.44
487	14798624.67
488	14785347.21
489	14766536.92
490	14746752
491	14733479.69
492	14725924.99
493	14715880.8
494	14707408
495	14698665.18
496	14673707.45
497	14659563.59
498	14637274.13
499	14623156.4
500	14617204.39
501	14599225.81
502	14553493.17
503	14548944.17
504	14536709.35
505	14527013.1
506	14514238.71
507	14491853.73
508	14480142.7
509	14469350.02
510	14449664.7
511	14439385.56
512	14432893.35
513	14417794.45
514	14389982.13
515	14360551.43
516	14330321.53
517	14319828.64
518	14313488.68
519	14301995.82
520	14274413.47
521	14247588.94
522	14236646.13
523	14222591.82
524	14196530.55
525	14190996.28
526	14187252.53
527	14176952.44
528	14155646.34
529	14134057.63
530	14132302.79
531	14117850.87
532	14103228.51
533	14089901.01
534	14076382.25
535	14072097.92
536	14052664.29
537	14035367.73
538	14023000.81
539	14001673.53
540	13987081.84
541	13969228.49
542	13955061.91
543	13941635.46
544	13933002.74
545	13916015.11
546	13898229.85
547	13894656.57
548	13888015.54
549	13879634.63
550	13866397.84
551	13845761.76
552	13813695.21
553	13805408.98
554	13779008.49
555	13772505.67
556	13767403.83
557	13757122.81
558	13740996.73
559	13731905.07
560	13722987.96
561	13712686.06
562	13705309.02
563	13693637.8
564	13679462.57
565	13661903.66
566	13649648.36
567	13640376.4
568	13625830.17
569	13607333
570	13599171.22
571	13585577
572	13579325.36
573	13569975.59
574	13562566.13
575	13537065.9
576	13517712.97
577	13508548.73
578	13488781.96
579	13467556.74
580	13439614.5
581	13430894.37
582	13415496.02
583	13403871.49
584	13396693.49
585	13388342.71
586	13362137.46
587	13341919.07
588	13325776.92
589	13318218.04
590	13312423.5
591	13305781.73
592	13285634.94
593	13271337.74
594	13254895.4
595	13246035.78
596	13227458.46
597	13203445.06
598	13185047.63
599	13183283.55
600	13172600.97
601	13156920.43
602	13149106.66
603	13133236.31
604	13125408.43
605	13110973
606	13098335.44
607	13080079.85
608	13074470.48
609	13042124.22
610	13035962.13
611	13032195.66
612	13015222.45
613	13005767.65
614	12991654.39
615	12968072.85
616	12965257.1
617	12945053.72
618	12936170.74
619	12927837.76
620	12919660.96
621	12914598.34
622	12908101.08
623	12885321.81
624	12863076.68
625	12849449.28
626	12832263.11
627	12810625.33
628	12795275.3
629	12778521.38
630	12756337.96
631	12740688.41
632	12723004
633	12696846.11
634	12694429.34
635	12680280.15
636	12666640.06
637	12657785.6
638	12648303.98
639	12635208.94
640	12626580.85
641	12606112.83
642	12600705.78
643	12591511.06
644	12583064.86
645	12576678.27
646	12561190.82
647	12542249.67
648	12526855.97
649	12519728.67
650	12510723.96
651	12503962.39
652	12487705.2
653	12470727.27
654	12455988.12
655	12443850.37
656	12431052.38
657	12410898.09
658	12381791.75
659	12361487.75
660	12355540.84
661	12347472.18
662	12339757.47
663	12334027.64
664	12324513.57
665	12318493.06
666	12311462.52
667	12303701.71
668	12296069.72
669	12289659.42
670	12283357.61
671	12277922.27
672	12263047.98
673	12254233.65
674	12248245.87
675	12237032.03
676	12223998.1
677	12217113.55
678	12200303.16
679	12199007.14
680	12185355.24
681	12171318.6
682	12161325.32
683	12150771.38
684	12140180.17
685	12133329.11
686	12127127.26
687	12118576.04
688	12108905.32
689	12100321.88
690	12093061.38
691	12080777.84
692	12075258.68
693	12061290.16
694	12044677.97
695	12038300.37
696	12033134.99
697	12023779.07
698	12016326.8
699	12013631.27
700	12009077.87
701	11997020.94
702	11985288.45
703	11976638.44
704	11974703.69
705	11963104.59
706	11948811.2
707	11941083.87
708	11935423.77
709	11928629.3
710	11914829.66
711	11908523.64
712	11905135.22
713	11898935.74
714	11881686.8
715	11872277.32
716	11859338.69
717	11849097.03
718	11844245.06
719	11840457.31
720	11835384.34
721	11815892.52
722	11811415.52
723	11799669.23
724	11794041.06
725	11792588.2
726	11785741.73
727	11776397.35
728	11763596.14
729	11744878.99
730	11735738
731	11719525.2
732	11708646.18
733	11690625.47
734	11675692.55
735	11665377.42
736	11649408.3
737	11646600.97
738	11628307.91
739	11610386.14
740	11595404.32
741	11581477.4
742	11578894.5
743	11576748.75
744	11571336.79
745	11564619.25
746	11553349
747	11541327.17
748	11533069.32
749	11526371.72
750	11516093.51
751	11498291.83
752	11481603.99
753	11475798.76
754	11464860.26
755	11442089.44
756	11429203.94
757	11421602.58
758	11411470.78
759	11401908.58
760	11396096.84
761	11385987.05
762	11379508.03
763	11371321.28
764	11364848.48
765	11352333.52
766	11347611.58
767	11334948.73
768	11328790
769	11318798.63
770	11310418.51
771	11304998.82
772	11300811.63
773	11294191.18
774	11279903.65
775	11266814.23
776	11259118.39
777	11249945.43
778	11245595.38
779	11235075.51
780	11228682.72
781	11223922.96
782	11205977.49
783	11187187.23
784	11177578.54
785	11165962.58
786	11160536.56
787	11142122.1
788	11132085.98
789	11107660.6
790	11103778.47
791	11095976.85
792	11082789.14
793	11068793.59
794	11051832.88
795	11043873.14
796	11031788.86
797	11024937.35
798	11014594.64
799	11004188.13
800	11002206.12
801	10983678.96
802	10979121.3
803	10976854.92
804	10975809.82
805	10964735.7
806	10958459.76
807	10946975.17
808	10941623.22
809	10927993.16
810	10923578.27
811	10912385.37
812	10904338.51
813	10895744.25
814	10888556.48
815	10888250.16
816	10877019.72
817	10871057.43
818	10858401.83
819	10853639.03
820	10845491.8
821	10835938.99
822	10828564.28
823	10822772.32
824	10814433.65
825	10811845.9
826	10806215.47
827	10801942.49
828	10789103.6
829	10780115.74
830	10773845.03
831	10765474.21
832	10752219.85
833	10746209.58
834	10738189.88
835	10733966.13
836	10727012.75
837	10714714.72
838	10705406.39
839	10703494.1
840	10692931.21
841	10686295.63
842	10679384.64
843	10669327.75
844	10659306.24
845	10656581.34
846	10653116.52
847	10644651.23
848	10637168.88
849	10626919.98
850	10616869.27
851	10602299.61
852	10592589.62
853	10583041.54
854	10579293.06
855	10573722.11
856	10565619.2
857	10559189.61
858	10551797.17
859	10549628.98
860	10540242.68
861	10533728.23
862	10530725.83
863	10523936.73
864	10511976.17
865	10502013.5
866	10497581.47
867	10492835.59
868	10480050.37
869	10472824.05
870	10467366.95
871	10459960.73
872	10451408.73
873	10447721.44
874	10439858.17
875	10433096.82
876	10429714.12
877	10421954.96
878	10408348.42
879	10403987.13
880	10400524.5
881	10386847.59
882	10380406.94
883	10371038.49
884	10356917.72
885	10349170.5
886	10345055.49
887	10325937.33
888	10319564.49
889	10309606.04
890	10303458.29
891	10298924.33
892	10290725.45
893	10286936.42
894	10279732.61
895	10275250.71
896	10261210.49
897	10248105.02
898	10246535.93
899	10236873.27
900	10226666.04
901	10222331.78
902	10220482.9
903	10209099.67
904	10197883.03
905	10190710.84
906	10185973.99
907	10179757.83
908	10167299.3
909	10163145.08
910	10159589.04
911	10156835.66
912	10149038.49
913	10147217.74
914	10140900.08
915	10131687.58
916	10124342.12
917	10118707.18
918	10108643.72
919	10099442.39
920	10094248.74
921	10083638.75
922	10077091.67
923	10067840.46
924	10058495.01
925	10047218.06
926	10041049.2
