iter	Passed	Remaining
487	714	643
488	716	641
489	717	640
490	719	638
491	720	637
492	722	635
493	723	634
494	724	632
495	726	631
496	728	630
497	729	628
498	731	627
499	732	625
500	733	624
501	735	622
502	736	621
503	738	619
504	739	618
505	741	616
506	742	614
507	744	613
508	745	612
509	746	610
510	748	609
511	749	607
512	751	606
513	752	604
514	753	603
515	755	601
516	756	600
517	757	598
518	759	597
519	761	595
520	762	594
521	764	592
522	765	591
523	766	589
524	768	588
525	769	586
526	770	585
527	772	583
528	773	582
529	775	580
530	776	579
531	778	577
532	779	576
533	780	574
534	782	573
535	783	571
536	784	570
537	786	568
538	787	566
539	789	565
540	790	563
541	791	562
542	793	561
543	794	559
544	796	558
545	797	556
546	798	555
547	800	553
548	801	552
549	803	550
550	804	549
551	805	547
552	807	545
553	808	544
554	810	543
555	811	541
556	813	540
557	814	538
558	815	536
559	817	535
560	818	534
561	820	532
562	821	531
563	822	529
564	824	528
565	825	526
566	827	525
567	828	523
568	829	522
569	831	520
570	832	519
571	833	517
572	835	515
573	836	514
574	838	513
575	839	511
576	840	510
577	842	508
578	844	507
579	845	506
580	847	504
581	848	503
582	850	501
583	851	500
584	852	498
585	854	497
586	855	495
587	856	494
588	858	492
589	860	491
590	863	490
591	864	489
592	866	487
593	867	486
594	869	485
595	871	483
596	873	482
597	874	481
598	876	480
599	878	478
600	880	477
601	881	476
602	883	474
603	885	473
604	887	472
605	888	470
606	890	469
607	892	468
608	894	466
609	895	465
610	897	464
611	899	462
612	900	461
613	902	460
614	904	458
615	905	457
616	907	455
617	908	454
618	910	452
619	911	451
620	913	449
621	914	448
622	916	446
623	917	445
624	918	444
625	920	442
626	921	441
627	923	439
628	924	438
629	926	436
630	927	435
631	929	433
632	930	432
633	932	430
634	933	429
635	935	427
636	936	426
637	938	424
638	939	423
639	941	422
640	943	420
641	944	419
642	945	417
643	947	416
644	948	414
645	950	413
646	951	411
647	953	410
648	954	408
649	955	407
650	957	406
651	959	404
652	961	403
653	962	401
654	963	400
655	965	398
656	966	397
657	968	395
658	970	394
659	971	393
660	973	391
661	975	390
662	976	389
663	978	387
664	979	385
665	981	384
666	982	382
667	983	381
668	985	380
669	986	378
670	988	377
671	990	375
672	991	374
673	993	372
674	994	371
675	996	369
676	997	368
677	999	367
678	1000	365
679	1002	364
680	1003	362
681	1005	361
682	1006	359
683	1008	358
684	1009	356
685	1011	355
686	1012	353
687	1014	352
688	1015	350
689	1017	349
690	1018	347
691	1020	346
692	1021	344
693	1023	343
694	1025	342
695	1026	340
696	1028	339
697	1029	337
698	1030	336
699	1032	334
700	1033	333
701	1035	331
702	1036	330
703	1038	328
704	1039	327
705	1041	325
706	1042	324
707	1043	322
708	1045	321
709	1046	319
710	1048	318
711	1050	317
712	1051	315
713	1052	314
714	1054	312
715	1056	311
716	1057	309
717	1058	308
718	1060	306
719	1061	305
720	1063	303
721	1064	302
722	1065	300
723	1067	299
724	1068	297
725	1070	296
726	1071	294
727	1073	293
728	1074	291
729	1075	290
730	1077	288
731	1078	287
732	1080	285
733	1081	284
734	1083	282
735	1084	281
736	1085	279
737	1087	278
738	1089	277
739	1090	275
740	1091	274
741	1093	272
742	1094	271
743	1096	269
744	1097	268
745	1098	266
746	1100	265
747	1101	263
748	1103	262
749	1104	260
750	1106	259
751	1107	257
752	1108	256
753	1110	254
754	1111	253
755	1113	251
756	1114	250
757	1115	248
758	1117	247
759	1118	245
760	1120	244
761	1121	242
762	1123	241
763	1124	239
764	1125	238
765	1127	236
766	1128	235
767	1130	233
768	1131	232
769	1132	230
770	1134	229
771	1135	228
772	1137	226
773	1138	225
774	1139	223
775	1141	222
776	1142	220
777	1144	219
778	1145	217
779	1146	216
780	1148	214
781	1149	213
782	1150	211
783	1152	210
784	1153	208
785	1155	207
786	1156	205
787	1157	204
788	1159	202
789	1160	201
790	1162	199
791	1163	198
792	1164	196
793	1166	195
794	1167	193
795	1169	192
796	1170	190
797	1171	189
798	1173	187
799	1174	186
800	1175	184
801	1177	183
802	1178	182
803	1179	180
804	1181	179
805	1182	177
806	1183	176
807	1185	174
808	1186	173
809	1188	171
810	1189	170
811	1190	168
812	1192	167
813	1193	165
814	1195	164
815	1196	162
816	1197	161
817	1199	159
818	1200	158
819	1202	156
820	1203	155
821	1204	153
822	1206	152
823	1207	150
824	1208	149
825	1210	148
826	1211	146
827	1213	145
828	1214	143
829	1215	142
830	1217	140
831	1218	139
832	1220	137
833	1221	136
834	1222	134
835	1224	133
836	1225	131
837	1226	130
838	1228	128
839	1229	127
840	1231	125
841	1232	124
842	1233	122
843	1235	121
844	1236	120
845	1238	118
846	1239	117
847	1240	115
848	1242	114
849	1243	112
850	1245	111
851	1246	109
852	1247	108
853	1249	106
854	1250	105
855	1251	103
856	1253	102
857	1254	100
858	1256	99
859	1257	97
860	1258	96
861	1260	95
862	1261	93
863	1262	92
864	1264	90
865	1265	89
866	1267	87
867	1268	86
868	1269	84
869	1271	83
870	1272	81
871	1273	80
872	1275	78
873	1276	77
874	1278	75
875	1279	74
876	1280	73
877	1282	71
878	1283	70
879	1285	68
880	1286	67
881	1288	65
882	1289	64
883	1291	62
884	1292	61
885	1294	59
886	1295	58
887	1297	56
888	1298	55
889	1300	54
890	1301	52
891	1303	51
892	1305	49
893	1306	48
894	1308	46
895	1309	45
896	1311	43
897	1312	42
898	1314	40
899	1316	39
900	1317	38
901	1319	36
902	1321	35
903	1322	33
904	1324	32
905	1326	30
906	1327	29
907	1329	27
908	1330	26
909	1332	24
910	1333	23
911	1335	21
912	1336	20
913	1338	19
914	1339	17
915	1341	16
916	1342	14
917	1343	13
918	1345	11
919	1346	10
920	1348	8
921	1349	7
922	1351	5
923	1352	4
924	1353	2
925	1355	1
926	1356	0
