id,url,price,price_per_m2,currency,rooms,area,floor,floors_total,address,metro,metro_minutes,metro_transport,district,description,seller_type,published,room_type_query
329980279,https://www.cian.ru/sale/flat/329980279/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,36610014,291018,rur,4,125.8,19,32,"Москва, Клинская улица, 2А",Грачёвская,7,walk,Ховрино,"4-комн.кв.  ·  125,8 м²  ·  19/32 этаж",agency,вчера,4
326048096,https://www.cian.ru/sale/flat/326048096/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,46000000,519187,rur,4,88.6,5,20,"Россия, Москва, Автозаводская улица, 26/1",Тульская,13,walk,Даниловский,"4-комн.кв.  ·  88,6 м²  ·  5/20 этаж",specialist,вчера,4
330577124,https://www.cian.ru/sale/flat/330577124/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,39763639,438408,rur,4,90.7,21,48,"Москва, ЖК Левел Звенигородская, к1",Звенигородская,17,walk,Хорошево-Мневники,"4-комн.кв.  ·  90,7 м²  ·  21/48 этаж",agency,2 часа назад,4
329617766,https://www.cian.ru/sale/flat/329617766/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,30990000,264872,rur,4,117.0,20,20,"Россия, Москва, 6-я Радиальная улица, 7/1к1",Царицыно,5,transport,Бирюлево Восточное,4-комн.кв.  ·  117 м²  ·  20/20 этаж,specialist,3 недели назад,4
327976530,https://www.cian.ru/sale/flat/327976530/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,39000000,321517,rur,4,121.3,1,12,"Россия, Москва, Сосенское поселение, посёлок Коммунарка, улица Александры Монаховой, 6",Коммунарка,4,walk,Сосенское,"4-комн.кв.  ·  121,3 м²  ·  1/12 этаж",specialist,три дня назад,4
326878987,https://www.cian.ru/sale/flat/326878987/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,48300000,417820,rur,4,115.6,38,50,"Москва, Шмитовский проезд, 39 к. 6, секц. 5",Шелепиха,8,walk,Пресненский,"4-комн.кв.  ·  115,6 м²  ·  38/50 этаж",agency,вчера,4
328553065,https://www.cian.ru/sale/flat/328553065/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44680800,339520,rur,4,131.6,13,13,"Москва, район Троицк, 1-я Ватутинская улица, 14к1",Ватутинки,12,walk,Десёновское,"4-комн.кв.  ·  131,6 м²  ·  13/13 этаж",agency,час назад,4
326657314,https://www.cian.ru/sale/flat/326657314/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,31900000,287129,rur,4,111.1,8,10,"Россия, Москва, Жулебинский бульвар, 23",Жулебино,10,walk,Выхино-Жулебино,"4-комн.кв.  ·  111,1 м²  ·  8/10 этаж",specialist,2 недели назад,4
327570250,https://www.cian.ru/sale/flat/327570250/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,37500000,187500,rur,4,200.0,8,8,"Россия, Москва, Новомосковский административный округ, район Коммунарка, деревня Сосенки, Ясеневая улица, 5",Ольховая,17,walk,Сосенское,4-комн.кв.  ·  200 м²  ·  8/8 этаж,specialist,вчера,4
329980254,https://www.cian.ru/sale/flat/329980254/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44429076,293455,rur,4,151.4,24,32,"Москва, Клинская улица, 2А",Грачёвская,7,walk,Ховрино,"4-комн.кв.  ·  151,4 м²  ·  24/32 этаж",agency,неделю назад,4
329805102,https://www.cian.ru/sale/flat/329805102/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,30100000,291384,rur,4,103.3,5,22,"Россия, Москва, Новороссийская улица, 32",Люблино,6,walk,Люблино,"4-комн.кв.  ·  103,3 м²  ·  5/22 этаж",specialist,12 часов назад,4
330577139,https://www.cian.ru/sale/flat/330577139/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44813215,462946,rur,4,96.8,48,48,"Москва, ЖК Левел Звенигородская, к1",Звенигородская,17,walk,Хорошево-Мневники,"4-комн.кв.  ·  96,8 м²  ·  48/48 этаж",agency,2 часа назад,4
326644909,https://www.cian.ru/sale/flat/326644909/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,31000000,307540,rur,4,100.8,1,14,"Россия, Москва, Братеевская улица, 25к1",Борисово,10,walk,Братеево,"4-комн.кв.  ·  100,8 м²  ·  1/14 этаж",agency,2 недели назад,4
329980416,https://www.cian.ru/sale/flat/329980416/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,44929996,294430,rur,4,152.6,26,32,"Москва, Клинская улица, 2А",Грачёвская,7,walk,Ховрино,"4-комн.кв.  ·  152,6 м²  ·  26/32 этаж",agency,вчера,4
328964933,https://www.cian.ru/sale/flat/328964933/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,37900000,517760,rur,4,73.2,21,31,"Россия, Москва, Озёрная улица, 42",Озёрная,4,walk,Очаково-Матвеевское,"4-комн.кв.  ·  73,2 м²  ·  21/31 этаж",specialist,неделю назад,4
