,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
19889,2.0,98.2,1,7,Новокузнецкая,10.0,walk,Замоскворечье,specialist,90000000.0
19890,2.0,125.8,8,13,Смоленская,8.0,walk,Арбат,agency,138380000.0
19891,2.0,71.5,25,26,Водный стадион,7.0,walk,Головинский,specialist,26000000.0
19892,5.0,220.0,13,18,Минская,15.0,walk,Раменки,agency,79000000.0
19893,5.0,175.0,5,6,Добрынинская,4.0,walk,Якиманка,agency,170453760.0
19894,2.0,80.86,10,15,Трикотажная,12.0,walk,Покровское-Стрешнево,agency,40274200.0
19895,2.0,59.0,4,15,Новопеределкино,20.0,walk,Солнцево,agency,16596700.0
19896,2.0,47.0,4,12,Новогиреево,5.0,transport,Ивановское,specialist,14300000.0
19897,1.0,48.12,3,15,Трикотажная,12.0,walk,Покровское-Стрешнево,agency,30501348.0
19898,1.0,42.0,1,5,Автозаводская,11.0,walk,Даниловский,specialist,17290000.0
19899,2.0,42.5,14,42,Крымская,8.0,transport,Котловка,specialist,35000000.0
19900,3.0,129.0,14,14,Павелецкая,6.0,walk,Замоскворечье,specialist,81947250.0
19901,2.0,52.0,3,7,Новослободская,9.0,walk,Тверской,specialist,33500000.0
19902,5.0,142.6,7,7,Арбатская,6.0,walk,Арбат,specialist,168000000.0
19903,0.0,39.0,28,49,Нагатинская,6.0,walk,Нагатино-Садовники,agency,30878306.0
19904,1.0,30.9,4,5,Гражданская,7.0,walk,Савеловский,agency,13999999.0
19905,1.0,43.2,11,35,Ростокино,5.0,walk,Ярославский,agency,14688000.0
19906,0.0,38.12,21,46,Бутырская,9.0,walk,Бутырский,agency,25463236.0
19907,2.0,51.8,9,23,Коммунарка,20.0,walk,Сосенское,specialist,14500000.0
19908,6.0,497.5,19,19,Первомайская,9.0,walk,Измайлово,agency,199000000.0
19909,4.0,62.2,4,12,Пражская,7.0,transport,Бирюлево Западное,agency,11860000.0
19910,2.0,39.0,8,31,Новопеределкино,4.0,walk,Ново-Переделкино,agency,17423096.0
19911,1.0,41.9,8,14,Ольховая,21.0,transport,Десёновское,specialist,11300000.0
19912,2.0,51.3,6,14,Алма-Атинская,6.0,walk,Братеево,specialist,18200000.0
19913,3.0,73.7,3,12,Багратионовская,18.0,walk,Филевский парк,specialist,36300000.0
19914,1.0,41.6,15,24,Речной вокзал,12.0,walk,Левобережный,agency,27464320.0
19915,5.0,303.0,3,5,Кропоткинская,3.0,walk,Хамовники,specialist,275000000.0
19916,1.0,37.0,17,19,Ленинский проспект,14.0,walk,Гагаринский,specialist,38850000.0
19917,1.0,42.1,9,14,Полянка,3.0,walk,Якиманка,specialist,29200000.0
19918,3.0,65.8,4,23,Селигерская,13.0,walk,Западное Дегунино,agency,28425600.0
19919,2.0,77.0,12,13,Автозаводская,7.0,transport,Даниловский,agency,54440000.0
19920,2.0,50.1,5,19,Филатов Луг,4.0,transport,Московский,agency,19214000.0
19921,3.0,84.0,5,20,Краснопресненская,2.0,walk,Пресненский,specialist,87265000.0
19922,2.0,50.2,2,17,Багратионовская,6.0,walk,Филевский парк,specialist,22700000.0
19923,4.0,133.87,5,5,Третьяковская,4.0,walk,Замоскворечье,agency,815684917.0
19924,1.0,37.9,7,17,Физтех,16.0,walk,Северный,specialist,14000000.0
19925,1.0,37.25,3,9,Крёкшино,6.0,transport,Марушкинское,agency,9293875.0
19926,3.0,123.0,3,6,Белорусская,9.0,walk,Беговой,specialist,79000000.0
19927,1.0,57.3,8,27,Шелепиха,18.0,walk,Филевский парк,agency,44858398.0
