,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
0,4.0,86.0,3,18,Корниловская,18.0,walk,Мосрентген,agency,26285040.0
1,1.0,33.4,2,9,Кокошкино,6.0,walk,Кокошкино,specialist,11000000.0
2,1.0,33.1,1,5,Щёлковская,7.0,walk,Северное Измайлово,specialist,12500000.0
3,1.0,41.3,25,27,Тушинская,8.0,transport,Покровское-Стрешнево,specialist,17500000.0
4,0.0,31.6,32,47,Печатники,13.0,walk,Печатники,agency,19842057.0
5,1.0,36.0,1,5,Нагорная,12.0,walk,Котловка,specialist,8990000.0
6,3.0,54.5,3,5,Шелепиха,2.0,walk,Пресненский,specialist,21900000.0
7,1.0,38.5,2,12,Тютчевская,19.0,walk,Мосрентген,specialist,12000000.0
8,2.0,64.2,28,39,Тропарёво,14.0,walk,Тропарево-Никулино,specialist,40000000.0
9,2.0,58.0,9,22,Славянский бульвар,15.0,walk,Фили-Давыдково,owner,29000000.0
10,1.0,39.5,17,21,Академическая,9.0,walk,Академический,agency,18703250.0
11,2.0,42.2,1,9,Черкизовская,14.0,walk,Преображенское,agency,11981000.0
12,3.0,75.6,20,20,Солнцево,5.0,walk,Солнцево,specialist,29500000.0
13,3.0,82.79,7,16,Автозаводская,8.0,transport,Даниловский,agency,44176744.0
14,5.0,200.0,4,14,Ломоносовский проспект,3.0,transport,Раменки,agency,336018550.0
15,5.0,213.0,3,6,Кропоткинская,13.0,walk,Хамовники,specialist,378904504.0
16,2.0,52.93,7,21,Филатов Луг,13.0,transport,Филимонковское,agency,14082979.0
17,2.0,73.78,42,46,Хорошёво,8.0,walk,Хорошево-Мневники,agency,51026248.0
18,1.0,38.4,14,29,Андроновка,16.0,walk,Нижегородский,agency,19945027.0
19,4.0,77.8,9,16,Коммунарка,5.0,transport,Сосенское,agency,22104868.0
20,3.0,64.0,8,11,Савёловская,10.0,walk,Савеловский,specialist,25800000.0
21,3.0,137.0,14,17,Ленинский проспект,14.0,walk,Гагаринский,agency,129495000.0
22,4.0,109.2,28,29,Нагатинская,6.0,walk,Нагатино-Садовники,agency,72047102.0
23,1.0,44.6,14,22,Коптево,7.0,walk,Коптево,specialist,25800000.0
24,3.0,58.8,4,12,Покровское,9.0,transport,Бирюлево Западное,owner,6500000.0
25,2.0,97.1,17,17,Преображенская площадь,5.0,walk,Преображенское,agency,67809379.0
26,3.0,86.0,5,11,Марьина Роща,8.0,walk,Марьина роща,specialist,38900000.0
27,1.0,37.0,2,24,Саларьево,19.0,walk,Мосрентген,specialist,15395000.0
28,3.0,60.5,8,25,Воронцовская,6.0,walk,Обручевский,specialist,39500000.0
29,1.0,43.3,11,33,Верхние Лихоборы,11.0,walk,Западное Дегунино,specialist,20250000.0
30,3.0,100.0,3,4,Тверская,9.0,walk,Пресненский,specialist,100000000.0
31,4.0,137.0,5,12,Фрунзенская,10.0,walk,Хамовники,specialist,320000000.0
32,2.0,75.5,8,18,Терехово ,5.0,transport,Хорошево-Мневники,agency,57833000.0
33,3.0,93.3,5,9,Речной вокзал,4.0,walk,Левобережный,specialist,32900000.0
34,2.0,53.2,14,17,Некрасовка,5.0,transport,Некрасовка,agency,15450000.0
35,1.0,35.3,6,14,Юго-Восточная,7.0,walk,Выхино-Жулебино,specialist,11500000.0
36,1.0,35.1,11,16,Потапово,17.0,walk,Сосенское,agency,15163200.0
37,4.0,143.0,2,4,Китай-город,3.0,walk,Басманный,specialist,73000000.0
38,1.0,54.4,21,58,Хорошёво,8.0,walk,Хорошево-Мневники,specialist,33000000.0
39,2.0,73.5,45,50,Мичуринский проспект,13.0,walk,Раменки,specialist,45000000.0
40,1.0,28.5,1,8,Шаболовская,12.0,walk,Даниловский,specialist,15500000.0
41,4.0,101.9,4,50,Шелепиха,8.0,walk,Пресненский,agency,42000000.0
42,2.0,47.0,2,12,Зябликово,8.0,walk,Орехово-Борисово Южное,specialist,17000000.0
43,3.0,84.2,2,17,Измайловская,5.0,transport,Измайлово,agency,28257520.0
44,3.0,63.6,1,12,Ольховая,20.0,transport,Десёновское,agency,18850200.0
45,4.0,108.0,7,8,Марьина Роща,5.0,walk,Марьина роща,specialist,78700000.0
46,0.0,23.0,17,27,Черкизовская,8.0,walk,Гольяново,agency,12771900.0
47,2.0,63.4,9,10,Парк Победы,10.0,walk,Дорогомилово,agency,80000000.0
48,0.0,32.5,16,22,Саларьево,19.0,walk,Московский,agency,14264250.0
49,3.0,62.5,5,14,Братиславская,14.0,walk,Люблино,specialist,10400000.0
50,4.0,109.8,51,59,Трикотажная,8.0,walk,Покровское-Стрешнево,agency,42186159.0
51,2.0,39.0,5,20,Алексеевская,12.0,walk,Алексеевский,agency,28890000.0
52,2.0,54.4,7,35,Алексеевская,13.0,walk,Останкинский,agency,26800000.0
53,1.0,37.7,28,30,Волгоградский проспект,12.0,walk,Южнопортовый,owner,23990000.0
54,1.0,37.2,2,16,Румянцево,6.0,transport,Московский,specialist,13900000.0
55,2.0,61.16,9,15,Электрозаводская,13.0,walk,Басманный,agency,52604673.0
56,2.0,63.6,6,10,Парк Победы,12.0,walk,Дорогомилово,agency,75000000.0
57,3.0,70.2,7,8,Кутузовская,5.0,walk,Дорогомилово,agency,33000000.0
58,3.0,77.5,43,55,Октябрьское поле,15.0,walk,Хорошевский,agency,53361463.0
59,4.0,91.2,11,17,Некрасовка,4.0,transport,Некрасовка,agency,19626000.0
60,2.0,37.8,4,9,Аэропорт Внуково,6.0,transport,Московский,specialist,9500000.0
61,1.0,37.5,3,17,Некрасовка,5.0,transport,Некрасовка,agency,10430000.0
62,2.0,56.0,5,5,Беговая,5.0,walk,Хорошевский,owner,20900000.0
63,3.0,75.3,5,10,Бульвар Рокоссовского,19.0,walk,Метрогородок,agency,30700703.0
64,2.0,50.0,4,41,Кутузовская,18.0,walk,Раменки,specialist,48900000.0
65,2.0,60.0,9,15,Динамо,6.0,walk,Беговой,specialist,34000000.0
66,0.0,22.3,30,58,Калужская,7.0,walk,Коньково,agency,14100000.0
67,3.0,77.2,6,19,Лесопарковая,2.0,walk,Чертаново Южное,specialist,26900000.0
68,2.0,58.6,15,22,Рассказовка,4.0,transport,Внуковское,agency,20978800.0
69,2.0,91.5,10,10,Спартак,11.0,walk,Покровское-Стрешнево,agency,93330000.0
70,3.0,160.6,3,6,Охотный ряд,4.0,walk,Тверской,agency,319205120.0
71,5.0,250.0,15,41,ЦСКА,13.0,walk,Хорошевский,agency,200000000.0
72,5.0,101.6,1,14,Красногвардейская,12.0,walk,Зябликово,specialist,24000000.0
73,0.0,21.0,24,33,Улица Скобелевская,11.0,walk,Южное Бутово,specialist,11500000.0
74,1.0,49.4,7,11,Мякинино,22.0,transport,ЗАО,owner,38555000.0
75,2.0,58.2,3,16,Крымская,13.0,walk,Академический,specialist,20950990.0
76,3.0,122.3,6,8,Новослободская,4.0,walk,Тверской,specialist,149000000.0
77,4.0,135.7,25,46,Павелецкая,20.0,walk,Даниловский,specialist,65500000.0
78,3.0,72.8,23,31,Новопеределкино,4.0,walk,Ново-Переделкино,agency,26550512.0
79,4.0,96.1,7,22,Саларьево,5.0,transport,Московский,specialist,25000000.0
80,1.0,38.1,19,25,Октябрьское поле,19.0,walk,Хорошево-Мневники,agency,18950000.0
81,2.0,55.3,7,12,Толстопальцево,4.0,transport,Марушкинское,owner,10500000.0
82,0.0,37.0,4,25,Полежаевская,16.0,walk,Хорошевский,specialist,23499999.0
83,6.0,375.5,5,5,Студенческая,4.0,walk,Дорогомилово,specialist,170000000.0
84,1.0,34.81,14,20,Физтех,13.0,walk,Северный,specialist,10810000.0
85,4.0,182.4,8,17,Смоленская,6.0,walk,Арбат,specialist,272701770.0
86,4.0,168.3,19,19,Академическая,1.0,walk,Академический,agency,103711630.0
87,2.0,58.0,9,17,Кантемировская,17.0,walk,Царицыно,specialist,21800000.0
88,4.0,125.0,22,30,Бульвар Рокоссовского,7.0,walk,Богородское,specialist,48900000.0
89,4.0,153.4,6,10,Курская,12.0,walk,Басманный,agency,175000000.0
90,2.0,59.1,9,17,Рассказовка,3.0,transport,Внуковское,agency,19470175.0
91,3.0,78.0,5,5,Коптево,13.0,walk,Коптево,specialist,21560000.0
92,4.0,165.0,10,23,Краснопресненская,5.0,transport,Пресненский,agency,270840000.0
93,1.0,36.08,9,13,Филатов Луг,13.0,transport,Филимонковское,agency,12831480.0
94,2.0,55.0,15,16,Румянцево,14.0,walk,Мосрентген,owner,7000000.0
95,5.0,133.3,7,29,Семёновская,15.0,walk,Соколиная гора,specialist,49000000.0
96,1.0,35.47,25,30,Кунцевская,13.0,walk,Кунцево,agency,25041820.0
97,4.0,110.0,2,10,Кутузовская,3.0,walk,Дорогомилово,agency,49950000.0
98,3.0,117.0,5,5,Лефортово,18.0,walk,Лефортово,specialist,38900000.0
99,0.0,38.7,12,21,Потапово,8.0,transport,Сосенское,agency,20757519.0
100,1.0,43.1,8,43,Бульвар Рокоссовского,2.0,walk,Богородское,agency,22011170.0
101,0.0,29.3,6,30,Озёрная,5.0,walk,Очаково-Матвеевское,agency,19841000.0
102,2.0,48.4,16,25,Динамо,17.0,walk,Савеловский,specialist,29900000.0
103,1.0,53.8,2,27,Павелецкая,7.0,walk,Замоскворечье,agency,55298800.0
104,2.0,54.31,25,40,Минская,15.0,walk,Раменки,agency,53404678.0
105,0.0,52.0,5,7,Давыдково,14.0,walk,Можайский,agency,14950000.0
106,1.0,47.0,9,24,Лианозово,15.0,walk,Лианозово,specialist,15200000.0
107,3.0,118.82,13,26,Белорусская,11.0,walk,Пресненский,agency,107985800.0
108,2.0,70.9,9,12,Семёновская,4.0,transport,Соколиная гора,agency,29237600.0
109,2.0,76.9,5,23,Юго-Западная,3.0,walk,Тропарево-Никулино,specialist,57900000.0
110,2.0,58.0,18,29,Аминьевская,3.0,walk,Очаково-Матвеевское,specialist,24800000.0
111,3.0,92.2,12,14,Минская,5.0,transport,Раменки,specialist,75000000.0
112,1.0,31.0,14,14,Кунцевская,9.0,transport,Можайский,specialist,16900000.0
113,3.0,269.4,69,75,Деловой центр,2.0,walk,Пресненский,agency,390280540.0
114,0.0,36.9,13,28,Бульвар Генерала Карбышева,5.0,walk,Хорошево-Мневники,agency,25092000.0
115,2.0,65.9,7,42,Крымская,19.0,walk,Котловка,specialist,35500000.0
116,4.0,103.1,5,20,Москва-Сити,12.0,walk,Пресненский,specialist,145000000.0
117,0.0,26.5,37,43,ЗИЛ,7.0,walk,Даниловский,agency,18791388.0
118,0.0,28.0,2,14,Коммунарка,5.0,transport,Сосенское,specialist,11200000.0
119,2.0,45.0,2,5,Бульвар Генерала Карбышева,4.0,walk,Хорошево-Мневники,specialist,19600000.0
120,2.0,35.9,6,9,Баррикадная,10.0,walk,Пресненский,agency,29999900.0
121,2.0,63.1,6,12,Зорге,13.0,walk,Хорошевский,agency,28015000.0
122,0.0,16.1,1,6,Беговая,16.0,walk,Хорошевский,agency,5400000.0
123,3.0,85.8,10,21,Потапово,17.0,walk,Сосенское,specialist,24500000.0
124,2.0,56.0,11,22,Рассказовка,4.0,transport,Внуковское,agency,19992000.0
125,0.0,20.0,17,17,Щербинка,11.0,walk,Щербинка,specialist,8900000.0
126,4.0,250.0,9,57,Аэропорт,10.0,walk,Хорошевский,specialist,160000000.0
127,3.0,116.8,5,7,Театральная,5.0,walk,Тверской,specialist,356740000.0
128,2.0,95.0,13,14,Баррикадная,18.0,walk,Пресненский,agency,206210000.0
129,2.0,60.0,9,19,Рассказовка,10.0,walk,Внуковское,specialist,21500000.0
130,1.0,42.0,3,17,Свиблово,6.0,walk,Свиблово,agency,20900000.0
131,4.0,113.7,26,26,Зорге,2.0,walk,Хорошевский,agency,142707052.0
132,1.0,31.2,3,9,Первомайская,19.0,walk,Восточное Измайлово,specialist,12500000.0
133,0.0,26.1,9,16,Яхромская,5.0,walk,Дмитровский,specialist,11999999.0
134,1.0,49.9,28,29,Аминьевская,4.0,walk,Раменки,agency,43112768.0
135,2.0,69.9,34,42,Тульская,8.0,walk,Даниловский,agency,52180350.0
136,2.0,52.2,4,6,Москва-Сити,8.0,walk,Пресненский,agency,77000000.0
137,1.0,52.8,24,82,Москва-Сити,1.0,walk,Пресненский,agency,56610000.0
138,2.0,95.4,3,5,Лубянка,6.0,walk,Басманный,specialist,68000000.0
139,4.0,158.38,2,6,Пенягино,19.0,walk,Митино,agency,48000000.0
140,1.0,51.8,3,22,Спартак,11.0,walk,Покровское-Стрешнево,agency,38528840.0
141,4.0,154.14,66,87,Деловой центр,12.0,walk,Пресненский,agency,165831237.0
142,1.0,41.3,9,13,Спартак,12.0,walk,Покровское-Стрешнево,agency,28658070.0
143,3.0,127.8,10,10,Спартак,11.0,walk,Покровское-Стрешнево,agency,124042680.0
144,0.0,28.0,15,29,Аминьевская,4.0,walk,Очаково-Матвеевское,specialist,19050000.0
145,1.0,43.2,27,28,Тушинская,4.0,walk,Покровское-Стрешнево,agency,23253264.0
146,0.0,21.2,9,30,Москворечье,18.0,walk,Москворечье-Сабурово,specialist,12700000.0
147,3.0,84.0,2,27,Звенигородская,20.0,walk,Хорошево-Мневники,agency,54000000.0
148,6.0,236.8,6,22,Юго-Западная,13.0,walk,Тропарево-Никулино,specialist,104000000.0
149,2.0,90.99,7,27,Шелепиха,18.0,walk,Филевский парк,agency,69220269.0
150,2.0,58.1,2,16,Бабушкинская,6.0,walk,Бабушкинский,agency,20690000.0
151,1.0,46.77,6,16,Серебряный Бор,12.0,walk,Хорошево-Мневники,agency,33344671.0
152,3.0,75.0,4,6,Савёловская,11.0,walk,Тверской,specialist,37000000.0
153,3.0,87.0,2,7,Охотный ряд,10.0,walk,Пресненский,specialist,100000000.0
154,2.0,36.8,12,18,Достоевская,10.0,walk,Марьина роща,agency,10929000.0
155,1.0,42.2,13,16,Улица Дмитриевского,4.0,walk,Косино-Ухтомский,specialist,15000000.0
156,0.0,22.49,3,32,Ховрино,20.0,walk,Западное Дегунино,agency,11584778.0
157,6.0,327.0,5,5,Кузнецкий мост,3.0,walk,Мещанский,specialist,195300000.0
158,4.0,243.0,7,7,Белорусская,12.0,walk,Пресненский,agency,420000000.0
159,0.0,24.6,9,21,Волгоградский проспект,3.0,walk,Южнопортовый,specialist,10200000.0
160,0.0,23.26,11,19,Рассказовка,9.0,walk,Внуковское,agency,10854046.0
161,1.0,40.2,3,12,Давыдково,18.0,walk,Можайский,agency,29748000.0
162,3.0,74.6,8,18,Корниловская,18.0,walk,Мосрентген,agency,22881312.0
163,0.0,33.1,22,30,Лианозово,10.0,walk,Восточное Дегунино,agency,21094560.0
164,4.0,98.0,2,22,Марьино,8.0,walk,Марьино,specialist,30500000.0
165,2.0,80.9,6,14,Павелецкая,6.0,walk,Замоскворечье,agency,37615000.0
166,2.0,42.1,17,50,Мичуринский проспект,14.0,walk,Раменки,specialist,28000000.0
167,1.0,35.0,5,12,Бульвар Рокоссовского,14.0,walk,Богородское,specialist,13000000.0
168,2.0,61.0,13,18,Новаторская,12.0,walk,Обручевский,specialist,39900000.0
169,4.0,136.2,22,24,Технопарк,5.0,walk,Нагатинский затон,agency,67011848.0
170,2.0,67.6,25,28,Бульвар Генерала Карбышева,5.0,walk,Хорошево-Мневники,agency,37856000.0
171,3.0,137.0,9,31,Матвеевская,5.0,transport,Очаково-Матвеевское,specialist,83000000.0
172,0.0,25.6,20,42,Москворечье,18.0,walk,Москворечье-Сабурово,agency,13800000.0
173,3.0,68.6,5,13,Минская,5.0,transport,Раменки,specialist,46900000.0
174,3.0,61.0,1,5,Парк Культуры,12.0,walk,Хамовники,specialist,36500000.0
175,3.0,88.0,13,28,Хорошёвская,20.0,walk,Хорошево-Мневники,agency,43938400.0
176,1.0,40.2,15,24,Яхромская,3.0,walk,Дмитровский,specialist,20000000.0
177,1.0,36.0,7,16,Бунинская аллея,8.0,transport,Сосенское,agency,10945751.0
178,2.0,50.8,8,17,Некрасовка,3.0,walk,Некрасовка,specialist,15000000.0
179,0.0,20.7,22,23,Полежаевская,17.0,walk,Хорошевский,agency,16157512.0
180,0.0,32.0,8,8,Ленинский проспект,14.0,walk,Гагаринский,agency,26272000.0
181,2.0,37.1,9,9,Кузьминки,4.0,transport,Кузьминки,specialist,14200000.0
182,2.0,68.11,2,20,Академическая,15.0,walk,Академический,agency,29948440.0
183,1.0,42.8,17,33,Владыкино,9.0,walk,Отрадное,agency,20710920.0
184,1.0,33.0,12,24,Коммунарка,19.0,walk,Сосенское,specialist,16200000.0
185,4.0,95.0,8,16,Юго-Западная,12.0,walk,Тропарево-Никулино,specialist,38990000.0
186,4.0,225.3,6,7,Минская,6.0,walk,Раменки,specialist,165000000.0
187,2.0,45.0,5,30,Потапово,13.0,walk,Сосенское,specialist,14530000.0
188,0.0,31.16,1,9,Давыдково,5.0,transport,Можайский,agency,23769752.0
189,0.0,38.3,6,12,Тульская,2.0,walk,Даниловский,specialist,24500000.0
190,2.0,94.9,5,26,Новые Черёмушки,2.0,walk,Черемушки,agency,41500000.0
191,0.0,12.7,3,4,Измайловская,4.0,transport,Северное Измайлово,specialist,4600000.0
192,1.0,63.0,2,13,Спартак,11.0,walk,Покровское-Стрешнево,agency,42102900.0
193,1.0,37.1,14,16,Бабушкинская,10.0,walk,Бабушкинский,specialist,15300000.0
194,5.0,249.0,4,9,Фрунзенская,12.0,walk,Хамовники,agency,545000000.0
195,1.0,42.8,23,24,Технопарк,17.0,walk,Нагатинский затон,agency,31636277.0
196,0.0,28.0,20,29,Новые Черёмушки,11.0,walk,Черемушки,agency,15064000.0
197,1.0,33.1,14,16,Ольховая,3.0,transport,Сосенское,agency,17024077.0
198,0.0,28.8,9,12,Сокольники,10.0,walk,Сокольники,agency,20502720.0
199,3.0,67.2,16,18,Ольховая,7.0,transport,Сосенское,agency,21657645.0
200,0.0,18.5,4,6,Чеховская,4.0,walk,Тверской,specialist,20950000.0
201,2.0,54.0,11,12,Киевская,5.0,walk,Дорогомилово,specialist,35000000.0
202,0.0,29.2,5,5,Дубровка,7.0,walk,Южнопортовый,specialist,8200000.0
203,2.0,52.0,13,22,Водный стадион,14.0,walk,Войковский,specialist,21190000.0
204,1.0,38.2,2,16,Крымская,12.0,walk,Донской,specialist,15500000.0
205,3.0,105.6,6,29,Андроновка,16.0,walk,Нижегородский,agency,40192559.0
206,2.0,56.0,8,9,Волжская,14.0,walk,Текстильщики,specialist,17900000.0
207,1.0,48.3,43,50,Мичуринский проспект,10.0,walk,Раменки,specialist,35000000.0
208,1.0,39.6,7,20,Павелецкая,8.0,walk,Замоскворечье,owner,30500000.0
209,2.0,67.7,24,29,Новые Черёмушки,13.0,walk,Черемушки,agency,29788000.0
210,1.0,37.1,12,17,Селигерская,9.0,walk,Бескудниковский,specialist,16100000.0
211,2.0,47.1,10,28,Хорошёвская,20.0,walk,Хорошево-Мневники,agency,22490250.0
212,3.0,50.2,1,9,Пражская,11.0,walk,Чертаново Центральное,agency,12495000.0
213,2.0,55.47,29,45,Печатники,5.0,transport,Печатники,agency,26928466.0
214,3.0,135.08,4,7,Мякинино,22.0,transport,ЗАО,owner,124949000.0
215,1.0,43.7,19,34,Калужская,11.0,walk,Обручевский,specialist,23800000.0
216,4.0,135.5,4,10,Ломоносовский проспект,19.0,walk,Раменки,specialist,220000000.0
217,2.0,75.0,4,11,Киевская,13.0,walk,Хамовники,specialist,69990000.0
218,2.0,55.0,14,16,Щёлковская,17.0,walk,Гольяново,agency,15500000.0
219,2.0,91.5,9,21,Серпуховская,16.0,walk,Даниловский,agency,71220000.0
220,4.0,62.3,2,9,Юго-Восточная,3.0,transport,Выхино-Жулебино,owner,8000000.0
221,1.0,53.5,3,6,Хорошёвская,12.0,walk,Хорошевский,agency,22000000.0
222,3.0,60.9,17,17,Боровское шоссе,3.0,transport,Солнцево,agency,24986417.0
223,2.0,81.93,11,15,Трикотажная,12.0,walk,Покровское-Стрешнево,agency,54335247.0
224,2.0,55.0,2,6,Филатов Луг,13.0,transport,Филимонковское,specialist,15300000.0
225,0.0,29.4,29,34,Беломорская,16.0,walk,Левобережный,owner,20050000.0
226,3.0,76.0,5,17,Волоколамская,10.0,walk,Митино,specialist,19500000.0
227,2.0,127.58,1,5,Павелецкая,14.0,walk,Замоскворечье,agency,205418146.0
228,0.0,24.6,18,24,Волгоградский проспект,3.0,walk,Южнопортовый,specialist,10400000.0
229,2.0,74.71,2,17,Преображенская площадь,4.0,walk,Преображенское,agency,40545814.0
230,3.0,75.3,7,12,ЗИЛ,3.0,transport,Даниловский,specialist,38500000.0
231,0.0,25.5,4,16,Саларьево,5.0,transport,Московский,agency,12160950.0
232,3.0,86.0,4,10,Молодёжная,6.0,transport,Хорошево-Мневники,specialist,90000000.0
233,2.0,53.7,2,17,Беляево,10.0,walk,Коньково,specialist,20700000.0
234,3.0,127.1,3,6,Крёкшино,11.0,transport,Первомайское,specialist,44500000.0
235,1.0,35.0,39,39,Селигерская,11.0,walk,Западное Дегунино,specialist,22500000.0
236,1.0,36.45,5,12,Бунинская аллея,15.0,transport,Рязановское,agency,10874858.0
237,1.0,35.1,5,16,Потапово,17.0,walk,Сосенское,agency,14682330.0
238,1.0,32.0,5,12,Народное Ополчение,10.0,walk,Хорошево-Мневники,specialist,13800000.0
239,3.0,120.0,13,15,Спортивная,8.0,walk,Хамовники,specialist,225000000.0
240,1.0,48.6,18,21,Терехово ,6.0,transport,Хорошево-Мневники,agency,39609000.0
241,4.0,163.2,4,14,Ломоносовский проспект,4.0,transport,Раменки,specialist,245000000.0
242,2.0,84.0,4,17,Улица 1905 года,11.0,walk,Пресненский,agency,120000000.0
243,4.0,206.8,9,11,Павелецкая,16.0,walk,Даниловский,agency,245637040.0
244,1.0,35.0,3,12,Прокшино,12.0,walk,Сосенское,agency,19900000.0
245,2.0,68.8,1,6,Охотный ряд,4.0,walk,Тверской,agency,164428000.0
246,0.0,40.0,1,6,Щукинская,10.0,transport,Покровское-Стрешнево,specialist,28000000.0
247,4.0,103.0,22,22,Савёловская,15.0,walk,Марьина роща,specialist,62990000.0
248,2.0,37.6,8,10,Аэропорт Внуково,11.0,transport,Марушкинское,agency,14583912.0
249,3.0,73.5,2,6,Марьина Роща,15.0,walk,Марьина роща,specialist,29900000.0
250,4.0,106.7,5,6,Санино,12.0,transport,Первомайское,agency,59000000.0
251,1.0,38.0,9,29,Каширская,4.0,transport,Москворечье-Сабурово,agency,16735200.0
252,3.0,55.0,4,5,Нагатинская,7.0,transport,Нагатино-Садовники,owner,1500000.0
253,2.0,39.4,6,7,Белорусская,11.0,walk,Беговой,specialist,32000000.0
254,0.0,25.2,19,25,Рассказовка,6.0,walk,Внуковское,specialist,12490000.0
255,1.0,58.0,11,48,Улица 1905 года,15.0,walk,Пресненский,agency,68614000.0
256,6.0,140.0,22,22,Славянский бульвар,4.0,walk,Фили-Давыдково,specialist,55800000.0
257,3.0,63.0,16,24,Филатов Луг,12.0,transport,Филимонковское,agency,17319960.0
258,1.0,30.9,1,5,Филёвский парк,5.0,walk,Филевский парк,specialist,21200000.0
259,0.0,21.7,12,14,Окружная,15.0,walk,Тимирязевский,owner,12400000.0
260,1.0,42.0,6,25,Новаторская,13.0,walk,Проспект Вернадского,owner,23300000.0
261,3.0,83.4,6,9,Москворечье,16.0,walk,Москворечье-Сабурово,agency,40269106.0
262,0.0,33.8,16,45,Калужская,8.0,walk,Обручевский,agency,23291580.0
263,2.0,50.1,5,24,Некрасовка,10.0,walk,Некрасовка,specialist,15500000.0
264,1.0,30.4,11,26,Калитники,11.0,walk,Нижегородский,specialist,16300000.0
265,3.0,98.28,18,46,Бутырская,9.0,walk,Бутырский,agency,49473953.0
266,5.0,458.0,7,8,Охотный ряд,8.0,walk,Тверской,specialist,639201600.0
267,1.0,43.0,9,21,Терехово ,5.0,walk,Хорошево-Мневники,agency,24990000.0
268,5.0,188.8,32,53,Поклонная,6.0,transport,Раменки,specialist,220000000.0
269,2.0,126.1,11,24,Новокузнецкая,12.0,walk,Замоскворечье,agency,223701400.0
270,3.0,75.1,8,13,Волгоградский проспект,7.0,walk,Южнопортовый,agency,50545436.0
271,3.0,89.5,3,10,Смоленская,9.0,walk,Арбат,specialist,57777777.0
272,3.0,72.1,3,5,Измайловская,17.0,walk,Измайлово,specialist,21300000.0
273,4.0,136.0,6,22,Беломорская,12.0,transport,Куркино,specialist,36400000.0
274,1.0,41.4,13,26,Водный стадион,6.0,walk,Головинский,specialist,17200000.0
275,0.0,31.5,2,2,Перерва,11.0,walk,Марьино,specialist,6050000.0
276,0.0,25.5,9,24,Новоясеневская,17.0,transport,Чертаново Центральное,specialist,11500000.0
277,3.0,91.3,11,29,Аминьевская,4.0,walk,Раменки,agency,68185514.0
278,0.0,23.3,6,23,Окружная,3.0,transport,Отрадное,specialist,9500000.0
279,1.0,63.2,3,19,Новослободская,3.0,walk,Тверской,agency,85831920.0
280,4.0,105.5,16,23,Текстильщики,19.0,walk,Рязанский,specialist,35000000.0
281,4.0,173.0,2,14,Улица 1905 года,9.0,walk,Пресненский,specialist,117000000.0
282,0.0,20.02,25,25,Нагатинская,8.0,walk,Нагатино-Садовники,agency,22039618.0
283,3.0,128.5,4,12,Преображенская площадь,2.0,walk,Преображенское,specialist,67000000.0
284,2.0,68.7,9,10,Фили,15.0,walk,Филевский парк,specialist,38100000.0
285,2.0,57.0,2,15,Яхромская,9.0,walk,Бескудниковский,agency,16890000.0
286,1.0,34.1,25,26,Черкизовская,5.0,transport,Гольяново,agency,16579420.0
287,2.0,57.4,11,14,Бунинская аллея,15.0,transport,Рязановское,agency,15957143.0
288,2.0,53.0,11,53,Трикотажная,8.0,walk,Покровское-Стрешнево,specialist,21500000.0
289,1.0,46.5,7,19,Павелецкая,8.0,walk,Замоскворечье,specialist,29000000.0
290,1.0,38.0,3,17,Новопеределкино,3.0,walk,Ново-Переделкино,specialist,13500000.0
291,1.0,44.3,7,34,Войковская,18.0,walk,Щукино,specialist,19400000.0
292,1.0,35.7,3,27,Аминьевская,6.0,walk,Очаково-Матвеевское,specialist,23500000.0
293,0.0,20.1,10,24,Новохохловская,12.0,walk,Текстильщики,agency,13519260.0
294,4.0,148.5,8,22,Беговая,5.0,transport,Пресненский,specialist,200000000.0
295,4.0,100.8,15,31,Грачёвская,8.0,walk,Ховрино,agency,26187840.0
296,2.0,45.0,9,9,Октябрьская,1.0,walk,Якиманка,specialist,26500000.0
297,4.0,170.0,6,7,Полянка,7.0,walk,Якиманка,specialist,248417400.0
298,3.0,161.2,12,18,Воробьёвы горы,14.0,walk,Хамовники,agency,352474000.0
299,3.0,135.8,4,5,Пушкинская,6.0,walk,Пресненский,specialist,84500000.0
300,3.0,58.4,8,9,Новогиреево,5.0,transport,Ивановское,specialist,18500000.0
301,3.0,96.6,28,28,Раменки,10.0,walk,Раменки,specialist,87890000.0
302,0.0,14.0,2,3,Тульская,17.0,walk,Донской,specialist,4900000.0
303,1.0,73.4,8,13,Сухаревская,5.0,walk,Мещанский,agency,153773000.0
304,0.0,21.1,22,24,Верхние Лихоборы,7.0,walk,Западное Дегунино,agency,12600000.0
305,3.0,61.0,8,9,Речной вокзал,7.0,transport,Ховрино,specialist,21000000.0
306,5.0,137.5,9,32,Шелепиха,9.0,walk,Хорошево-Мневники,specialist,140000000.0
307,3.0,70.5,1,12,Бибирево,14.0,walk,Алтуфьевский,agency,9750000.0
308,4.0,149.4,3,17,Терехово ,7.0,transport,Хорошево-Мневники,agency,104729400.0
309,6.0,323.7,3,3,Давыдково,16.0,walk,Очаково-Матвеевское,specialist,190000000.0
310,3.0,95.0,6,11,Киевская,15.0,walk,Дорогомилово,agency,175000000.0
311,2.0,70.35,28,28,Нагатинская,6.0,walk,Нагатино-Садовники,agency,47642056.0
